,Day,Cloud_Condition
0,80002,Mostly Cloudy
1,80003,Mostly Cloudy
2,80004,Mostly Cloudy
3,80005,Mostly Cloudy
4,80006,Mostly Cloudy
5,80007,Mostly Cloudy
6,80008,Mostly Cloudy
7,80009,Mostly Cloudy
8,80010,Mostly Cloudy
9,80011,Mostly Cloudy
10,80012,Mostly Cloudy
11,80013,Mostly Cloudy
12,80014,Mostly Cloudy
13,80015,Mostly Cloudy
14,80016,Mostly Cloudy
15,80017,Mostly Cloudy
16,80018,Partly Cloudy
17,80019,Mostly Cloudy
18,80020,Partly Cloudy
19,80021,Mostly Cloudy
20,80022,Mostly Cloudy
21,80023,Mostly Cloudy
22,80024,Mostly Cloudy
23,80025,Partly Cloudy
24,80026,Mostly Cloudy
25,80027,Mostly Cloudy
26,80028,Mostly Cloudy
27,80029,Mostly Cloudy
28,80030,Mostly Cloudy
29,80031,Mostly Cloudy
30,80032,Mostly Cloudy
31,80033,Mostly Cloudy
32,80034,Mostly Cloudy
33,80035,Partly Cloudy
34,80036,Mostly Cloudy
35,80037,Mostly Cloudy
36,80038,Partly Cloudy
37,80039,Mostly Cloudy
38,80040,Mostly Cloudy
39,80041,Mostly Cloudy
40,80042,Mostly Cloudy
41,80043,Mostly Cloudy
42,80044,Mostly Cloudy
43,80045,Partly Cloudy
44,80046,Partly Cloudy
45,80047,Mostly Cloudy
46,80048,Partly Cloudy
47,80049,Mostly Cloudy
48,80050,Mostly Cloudy
49,80051,Mostly Cloudy
50,80052,Partly Cloudy
51,80053,Partly Cloudy
52,80054,Mostly Cloudy
53,80055,Mostly Cloudy
54,80056,Mostly Cloudy
55,80057,Mostly Cloudy
56,80058,Mostly Cloudy
57,80059,Partly Cloudy
58,80060,Mostly Cloudy
59,80061,Partly Cloudy
60,80062,Mostly Cloudy
61,80063,Mostly Cloudy
62,80064,Mostly Cloudy
63,80065,Partly Cloudy
64,80066,Mostly Cloudy
65,80067,Mostly Cloudy
66,80068,Mostly Cloudy
67,80069,Mostly Cloudy
68,80070,Mostly Cloudy
69,80071,Mostly Cloudy
70,80072,Mostly Cloudy
71,80073,Partly Cloudy
72,80074,Mostly Cloudy
73,80075,Mostly Cloudy
74,80076,Mostly Cloudy
75,80077,Mostly Cloudy
76,80078,Mostly Cloudy
77,80079,Mostly Cloudy
78,80080,Mostly Cloudy
79,80081,Mostly Cloudy
80,80082,Mostly Cloudy
81,80083,Partly Cloudy
82,80084,Partly Cloudy
83,80085,Mostly Cloudy
84,80086,Mostly Cloudy
85,80087,Mostly Cloudy
86,80088,Mostly Cloudy
87,80089,Partly Cloudy
88,80090,Mostly Cloudy
89,80091,Mostly Cloudy
90,80092,Mostly Cloudy
91,80093,Mostly Cloudy
92,80094,Mostly Cloudy
93,80095,Mostly Cloudy
94,80096,Mostly Cloudy
95,80097,Mostly Cloudy
96,80098,Mostly Cloudy
97,80099,Mostly Cloudy
98,80100,Mostly Cloudy
99,80101,Mostly Cloudy
100,80102,Mostly Cloudy
101,80103,Mostly Cloudy
102,80104,Mostly Cloudy
103,80105,Mostly Cloudy
104,80106,Mostly Cloudy
105,80107,Mostly Cloudy
106,80108,Mostly Cloudy
107,80109,Partly Cloudy
108,80110,Mostly Cloudy
109,80111,Mostly Cloudy
110,80112,Mostly Cloudy
111,80113,Partly Cloudy
112,80114,Mostly Cloudy
113,80115,Mostly Cloudy
114,80116,Mostly Cloudy
115,80117,Mostly Cloudy
116,80118,Mostly Cloudy
117,80119,Partly Cloudy
118,80120,Partly Cloudy
119,80121,Mostly Cloudy
120,80122,Mostly Cloudy
121,80123,Partly Cloudy
122,80124,Mostly Cloudy
123,80125,Mostly Cloudy
124,80126,Mostly Cloudy
125,80127,Mostly Cloudy
126,80128,Partly Cloudy
127,80129,Partly Cloudy
128,80130,Partly Cloudy
129,80131,Mostly Cloudy
130,80132,Mostly Cloudy
131,80133,Mostly Cloudy
132,80134,Mostly Cloudy
133,80135,Mostly Cloudy
134,80136,Mostly Cloudy
135,80137,Mostly Cloudy
136,80138,Partly Cloudy
137,80139,Mostly Cloudy
138,80140,Mostly Cloudy
139,80141,Mostly Cloudy
140,80142,Mostly Cloudy
141,80143,Mostly Cloudy
142,80144,Mostly Cloudy
143,80145,Mostly Cloudy
144,80146,Mostly Cloudy
145,80147,Partly Cloudy
146,80148,Mostly Cloudy
147,80149,Mostly Cloudy
